time:sent:recv:cpu
1588245670.3424566:0:0:11.0
1588245672.344016:0:0:5.2
1588245674.3461788:0:0:5.0
1588245676.347455:0:0:8.3
1588245678.349062:0:0:8.9
1588245680.350762:0:0:6.3
1588245682.353466:0:0:3.7
1588245684.3553255:0:0:5.3
1588245686.3565903:0:0:5.2
1588245688.3584979:0:0:13.2
1588245690.3599067:0:0:8.6
1588245692.3610187:0:0:6.4
1588245694.3624494:0:0:4.8
1588245696.3642907:0:0:3.4
1588245698.3666995:0:0:3.2
1588245700.3693154:0:0:4.6
1588245702.3717747:0:0:3.0
1588245704.3739605:0:0:3.2
1588245706.3784406:0:0:10.7
1588245708.3799822:0:0:18.6
1588245710.3816621:0:0:7.1
1588245712.3842223:0:0:7.3
1588245714.3860507:0:0:7.3
1588245716.3880677:0:0:16.2
1588245718.3901086:0:0:17.1
1588245720.3927464:0:0:24.8
1588245722.5939817:0:0:29.6
1588245724.5961823:0:0:32.1
1588245726.599101:0:0:6.3
1588245728.600334:0:0:6.6
1588245730.6019437:0:0:9.0
1588245732.603866:0:0:12.5
1588245734.6060252:0:0:5.5
1588245736.6086104:0:0:4.4
1588245738.6110494:0:0:6.3
1588245740.6133027:0:0:7.5
1588245742.6149197:0:0:15.5
1588245744.6169033:0:0:9.7
1588245746.6189957:0:0:6.3
1588245748.6208544:0:0:5.6
1588245750.6220677:0:0:7.7
1588245752.6234345:0:0:4.8
1588245754.6254072:0:0:13.6
1588245756.6280432:0:0:14.3
1588245758.6301894:0:0:7.7
1588245760.6328423:0:0:4.9
1588245762.6344733:0:0:6.2
1588245764.6365488:0:0:5.7
1588245766.6385949:0:0:6.6
1588245768.6398792:0:0:4.3
1588245770.6424072:0:0:7.7
1588245772.64447:0:0:10.6
1588245774.6459577:0:0:8.6
1588245776.647377:0:0:13.6
1588245778.6496527:0:0:21.0
1588245780.6516562:0:0:9.3
1588245782.6537998:0:0:11.3
1588245784.6564832:0:0:12.8
1588245786.6587164:0:0:18.4
1588245788.6610157:0:0:14.9
